id,requirement,evidence_type,status,evidence_path,notes
M1-REPO,Preserve authoritative upstream history and attribution,git history,proven,.git,Upstream commit and focused fork commits retained
M1-BUILD,Reproducible Windows x64 Debug and Release builds,build logs and hashes,proven,build-evidence/baseline.json,Both configurations built with MSVC and Ninja
M1-UPSTREAM-RUN,Run unmodified upstream against legitimate game data,runtime reproduction,missing,,Not run because display restoration safeguard is not yet complete
M1-DIAGNOSTICS,Machine-readable privacy-safe diagnostics,unit tests and JSON parse,proven,src/Tests/test_diagnostic_log.c,No usernames hostnames serials or raw command lines
M2-LOGGING,Structured renderer shader and startup logging,source and tests,proven,docs/evidence/renderer-telemetry-2026-07-14.md,"Runtime logs cover initialization, shader stages, framebuffer status, sampled texture uploads and all failures, swap state, display/focus, input capture, and frame pacing"
M2-SHADER,Graceful named shader compile and link failures,unit and build tests,proven,src/Platform/GL/ShaderCompile.c,No modal compiler-error path remains
M2-CRASH-DUMP,Crash dump generation and user-facing log location,runtime crash test,proven,docs/evidence/crash-handler-integration-2026-07-14.md,Real gameplay initialized DrMinGW in per-user diagnostics and the asset-free controlled crash produced a validated 1655-byte exception/stack report
M2-SMOKE,Asset-free renderer smoke mode,hardware smoke log,proven,docs/evidence/foundation-verification.md,Hidden 64x64 generated-resource test
M2-TESTS,Settings timing resolution save and fallback tests,CTest results,proven,cmake/OpenJKDF2Tests.cmake,34 Release tests cover settings/frame rates display selection and transactions resolution save paths timing input presets smoothing and latency telemetry renderer fallback recovery documentation and source contracts
M2-SAFE,Startup safe mode,unit test and source,proven,src/Tests/test_startup_options.c,Forces windowed and conservative parser defaults
M3-RDNA,Standards-compliant capability-based RDNA renderer fixes,shader audit and hardware matrix,incomplete,,One generated shader path passed on RDNA3 only
M3-DIAG-PAGE,In-game renderer diagnostics page,gameplay UI test,proven,docs/evidence/diagnostics-page-2026-07-14.md,"Production modal was visibly captured at 2560x1440 with RX 7900 XTX driver API fallback VSync display and frame-cap fields, then dismissed normally with clean exit and unchanged assets"
M4-RESOLUTION,Native 2560x1440 and arbitrary resolution with correct UI,visual and coordinate tests,proven,docs/evidence/display-options-2026-07-14.md,"Live clients and captures passed at 1920x1080, 2560x1440 Borderless, 3840x2160, and 1280x720 on a second display"
M4-BORDERLESS,Borderless fullscreen never changes desktop mode,display invariance tests,proven,docs/evidence/display-lifecycle-2026-07-14.md,Normal exit three focus-loss cycles multi-monitor selection and forced termination all preserved 2560x1440 at 165 Hz without invoking Exclusive
M4-WATCHDOG,Crash-safe display restoration watchdog,forced termination tests,incomplete,docs/evidence/watchdog-verification.md,Parent-exit detection works but host denies display-state application; Exclusive remains gated off
M4-ASPECT,Configurable gameplay menu HUD and video aspect correction,visual tests,proven,docs/evidence/aspect-correction-2026-07-14.md,Independent persisted policies have unit and menu-contract coverage plus visible production captures for video menu and HUD
M5-FRAME-UI,Frame-rate slider choices and persistence,unit and UI tests,proven,docs/evidence/frame-rate-ui-2026-07-14.md,"Production slider visibly selected 120 FPS, Apply persisted it to the isolated player profile, and a fresh second process visibly reloaded 120 FPS with two clean exits and unchanged assets"
M5-TIMING,Render and simulation cadence preserve gameplay behavior,frame captures and gameplay tests,incomplete,docs/evidence/timing-invariance-2026-07-14.md,60 and 120 FPS first-door travel remained invariant within 7 ms; other gameplay timing domains remain pending
M5-VSYNC,VSync and low-jitter limiter modes,pacing captures,proven,docs/evidence/vsync-modes-2026-07-14.md,Production Off cap-only 120 FPS plus On and Adaptive at 60 FPS passed strict median and p95 gates with actual applied-mode telemetry
